id;"Comp. Word";Pronunciation;"English Translation";Frequency
1;問題;mondai;question;238663
2;首相;syusyoo;"Prime Minister";224822
3;写真;syasin;photograph;211918
4;現在;genzai;now;193742
5;世界;sekai;"the world";183195
6;政府;seihu;government;181556
7;説明;setumei;explanation;174920
8;交渉;koosyoo;negotiations;170891
9;代表;daihyoo;representative;162696
10;委員;iin;"committee member";150054
11;関係;kankei;relation;146333
12;事件;ziken;event;142862
13;発表;happyoo;announcement;140557
14;経済;keizai;economics;139962
15;昨年;sakunen;"last year";138391
16;表示;hyoozi;indication;136067
17;情報;zyoohoo;news;135096
18;社会;syakai;society;133618
19;時間;zikan;time;133613
20;容疑;yoogi;suspect;130370
21;大会;taikai;convention;129583
22;監督;kantoku;supervision;128290
23;著作;tyosaku;writing;127950
24;必要;hituyoo;necessary;126985
25;会社;kaisya;company;124229
26;本文;honbun;text;123894
27;調査;tyoosa;investigation;123787
28;選手;sensyu;player;122240
29;以上;izyoo;"not less than";121572
30;野球;yakyuu;baseball;121270
31;国際;kokusai;international;120870
32;企業;kigyoo;enterprise;114671
33;女性;zyosei;woman;114178
34;可能;kanoo;potential;112430
35;選挙;senkyo;election;111854
36;自分;zibun;myself;110715
37;全国;zenkoku;countrywide;110372
38;試合;siai;match;107924
39;政治;seizi;politics;104674
40;政権;seiken;administration;101593
41;今年;kotosi;"this year";99761
42;会議;kaigi;meeting;97984
43;国民;kokumin;nation;96900
44;会長;kaityoo;president;96737
45;支援;sien;support;93865
46;研究;kenkyuu;study;92835
47;社長;syatyoo;"company president";92765
48;議員;giin;"member of the Diet, congress or parliament";91841
49;電話;denwa;"telephone call";91709
50;午後;gogo;afternoon;90108
51;事業;zigyoo;project;89625
52;時代;zidai;period;87667
53;優勝;yuusyoo;"overall victory";86887
54;改革;kaikaku;reform;86437
55;参加;sanka;participation;85638
56;金融;kinyuu;financing;83945
57;共同;kyoodoo;"doing together";83899
58;今回;konkai;now;83462
59;結果;kekka;result;82621
60;五輪;gorin;"the Olympics";81749
61;政策;seisaku;"political measures";80580
62;記者;kisya;reporter;78627
63;活動;katudoo;action;78090
64;午前;gozen;morning;77769
65;場合;baai;case;77619
66;制度;seido;system;77296
67;方針;hoosin;objective;76485
68;地域;tiiki;area;76310
69;女子;zyosi;woman;76079
70;会見;kaiken;interview;75183
71;協議;kyoogi;conference;74885
72;対策;taisaku;measure;74068
73;指摘;siteki;"pointing out";73359
74;生活;seikatu;living;73275
75;連続;renzoku;serial;72174
76;出場;syutuzyoo;appearance;72100
77;決定;kettei;decision;71642
78;環境;kankyoo;environment;70834
79;最終;saisyuu;last;70731
80;影響;eikyoo;influence;70682
81;機関;kikan;engine;70227
82;市場;sizyoo;market;69986
83;教授;kyoozyu;professor;69910
84;開発;kaihatu;development;69835
85;報告;hookoku;report;69746
86;販売;hanbai;sales;69232
87;検討;kentoo;consideration;68934
88;男性;dansei;man;68928
89;予定;yotei;plans;68923
90;年度;nendo;"fiscal year";68773
91;長官;tyookan;secretary;67774
92;逮捕;taiho;arrest;67684
93;経営;keiei;management;67494
94;計画;keikaku;plan;67487
95;被害;higai;damage;67131
96;国会;kokkai;"National Diet";67038
97;子供;kodomo;child;65559
98;対象;taisyoo;target;65512
99;対応;taioo;interaction;64244
100;判断;handan;judgement;64033
101;担当;tantoo;"being in charge";63654
102;国内;kokunai;internal;63535
103;大学;daigaku;"post-secondary education institution, incl. university, college, etc.";63448
104;教育;kyooiku;training;63417
105;支持;sizi;support;63236
106;決勝;kessyoo;"decision of a contest";62746
107;実施;zissi;enforcement;62343
108;会談;kaidan;conversation;62217
109;批判;hihan;criticism;62123
110;今後;kongo;"from now on";62023
111;当時;toozi;"at that time";61147
112;高校;kookoo;"senior high school";61031
113;男子;dansi;youth;60526
114;団体;dantai;organization;60511
115;被告;hikoku;defendant;60441
116;安全;anzen;safety;60307
117;中心;tyuusin;center;60275
118;地方;tihoo;district;60075
119;記録;kiroku;record;59875
120;協力;kyooryoku;cooperation;59809
121;事故;ziko;accident;59318
122;責任;sekinin;duty;59232
123;関連;kanren;relation;59084
124;学校;gakkoo;school;59054
125;協会;kyookai;association;58739
126;保険;hoken;insurance;58594
127;期待;kitai;expectation;57795
128;技術;gizyutu;art;57528
129;家族;kazoku;family;57371
130;病院;byooin;hospital;57224
131;組織;sosiki;organization;57210
132;理事;rizi;director;57001
133;死亡;siboo;death;56936
134;作品;sakuhin;work;56451
135;施設;sisetu;institution;56422
136;確認;kakunin;confirmation;56273
137;言葉;kotoba;language;55907
138;利用;riyoo;use;55147
139;年間;nenkan;year;54381
140;評価;hyooka;valuation;54248
141;候補;kooho;candidate;53816
142;戦争;sensoo;war;53788
143;消費;syoohi;consumption;53733
144;個人;kozin;individual;53575
145;幹部;kanbu;management;53544
146;状況;zyookyoo;"state of affairs";53045
147;捜査;soosa;search;52772
148;特別;tokubetu;special;52481
149;意見;iken;opinion;52177
150;映画;eiga;movie;51917
151;医療;iryoo;"medical care";51179
152;内容;naiyoo;subject;50285
153;資金;sikin;funds;50209
154;以来;irai;since;49906
155;開催;kaisai;"holding a meeting";49630
156;反対;hantai;opposition;49073
157;判決;hanketu;"judicial decision";49056
158;以降;ikoo;"on and after";48749
159;報道;hoodoo;information;48505
